key,version,description,draft_mode,end_moment,more_info,name,start_moment,ticker,key:sponsor,key:project
sponsorship-20,1,ejemplo,true,2026/07/01 0:00,"http://www.lorem-ipsum.org/dolor/sit/amet,/consectetur/adipiscing/elit,/sed/do/eiusmod/tempor/incididunt/ut/labore/et/dolore/magna/aliqua/Ut/enim/ad/minim/veniam/quis/nostrud/exercitation/ullamco/laboris/nisi/ut/aliquip/ex/ea/commodo/consequat/duis/aute/",ejemplo,2026/01/18 12:00,AA01-aaa20,sponsor-01,
sponsorship-21,1,ejemplo,true,2026/07/01 0:00,"http://www.lorem-ipsum.org/dolor/sit/amet,/consectetur/adipiscing/elit,/sed/do/eiusmod/tempor/incididunt/ut/labore/et/dolore/magna/aliqua/Ut/enim/ad/minim/veniam/quis/nostrud/exercitation/ullamco/laboris/nisi/ut/aliquip/ex/ea/commodo/consequat/duis/aute/X",ejemplo,2026/01/18 12:00,AA01-aaa21,sponsor-01,
sponsorship-22,1,ejemplo,true,2026/07/01 0:00,http://www.lorem-ipsum.org,ejemplo,2026/01/18 12:00,AA01-aaa22,sponsor-01,
sponsorship-23,1,ejemplo,true,2026/07/01 0:00,https://www.lorem-ipsum.org,ejemplo,2026/01/18 12:00,AA01-aaa23,sponsor-01,
sponsorship-24,1,ejemplo,true,2026/07/01 0:00,http://www.lorem-ipsum.org/dolor/sit.html,ejemplo,2026/01/18 12:00,AA01-aaa24,sponsor-01,
sponsorship-25,1,ejemplo,true,2026/07/01 0:00,http://www.lorem-ipsum.org/dolor/sit.html#dolor,ejemplo,2026/01/18 12:00,AA01-aaa25,sponsor-01,
sponsorship-26,1,ejemplo,true,2026/07/01 0:00,http://example.org?a=1&b=2,ejemplo,2026/01/18 12:00,AA01-aaa26,sponsor-01,
sponsorship-27,1,ejemplo,true,2026/07/01 0:00,http://example.org?,ejemplo,2026/01/18 12:00,AA01-aaa27,sponsor-01,
sponsorship-28,1,ejemplo,true,2026/07/01 0:00,http://example.org?a,ejemplo,2026/01/18 12:00,AA01-aaa28,sponsor-01,
sponsorship-29,1,ejemplo,true,2026/07/01 0:00,http://example.org?a&b,ejemplo,2026/01/18 12:00,AA01-aaa29,sponsor-01,
sponsorship-30,1,ejemplo,true,2026/07/01 0:00,http://example.org/,ejemplo,2026/01/18 12:00,AA01-aaa30,sponsor-01,
sponsorship-31,1,ejemplo,true,2026/07/01 0:00,http://example.org/a,ejemplo,2026/01/18 12:00,AA01-aaa31,sponsor-01,
sponsorship-32,1,ejemplo,true,2026/07/01 0:00,http://example.org/a/b,ejemplo,2026/01/18 12:00,AA01-aaa32,sponsor-01,
sponsorship-33,1,ejemplo,true,2026/07/01 0:00,http://example.org/a/b?,ejemplo,2026/01/18 12:00,AA01-aaa33,sponsor-01,
sponsorship-34,1,ejemplo,true,2026/07/01 0:00,http://example.org/a/b?a&b,ejemplo,2026/01/18 12:00,AA01-aaa34,sponsor-01,
#name
sponsorship-35,1,ejemplo,true,2026/07/01 10:00,https://www.investing.com/strategies/conservative,"Lorem ipsum dolor sit amet, consectetu",2026/01/18 12:00,AA01-aaa35,sponsor-01,
sponsorship-36,1,ejemplo,true,2026/07/01 10:00,https://www.investing.com/strategies/conservative,L,2026/01/18 12:00,AA01-aaa36,sponsor-01,
sponsorship-37,1,ejemplo,true,2026/07/01 10:00,https://www.investing.com/strategies/conservative,Lo,2026/01/18 12:00,AA01-aaa37,sponsor-01,
sponsorship-38,1,ejemplo,true,2026/07/01 10:00,https://www.investing.com/strategies/conservative,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod t",2026/01/18 12:00,AA01-aaa38,sponsor-01,
sponsorship-39,1,ejemplo,true,2026/07/01 10:00,https://www.investing.com/strategies/conservative,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod te",2026/01/18 12:00,AA01-aaa39,sponsor-01,
sponsorship-40,1,ejemplo,true,2026/07/01 10:00,https://www.investing.com/strategies/conservative,โลเร็ม อิปซัม,2026/01/18 12:00,AA01-aaa40,sponsor-01,
sponsorship-41,1,ejemplo,true,2026/07/01 10:00,https://www.investing.com/strategies/conservative,لوريم إيبسوم,2026/01/18 12:00,AA01-aaa41,sponsor-01,
sponsorship-42,1,ejemplo,true,2026/07/01 10:00,https://www.investing.com/strategies/conservative,洛伦·伊普森,2026/01/18 12:00,AA01-aaa42,sponsor-01,
sponsorship-43,1,ejemplo,true,2026/07/01 10:00,https://www.investing.com/strategies/conservative,<marquee>Hacked</marquee>,2026/01/18 12:00,AA01-aaa43,sponsor-01,
sponsorship-44,1,ejemplo,true,2026/07/01 10:00,https://www.investing.com/strategies/conservative,<script>alert(‘Hacked!’);</script>,2026/01/18 12:00,AA01-aaa44,sponsor-01,
sponsorship-45,1,ejemplo,true,2026/07/01 10:00,https://www.investing.com/strategies/conservative,' or 'A' = 'A,2026/01/18 12:00,AA01-aaa45,sponsor-01,
#start_moment
sponsorship-46,1,ejemplo,true,2026/07/01 10:00,https://www.investing.com/strategies/conservative,ejemplo,2025/08/01 0:00,AA01-aaa46,sponsor-01,
sponsorship-47,1,ejemplo,true,2026/07/01 10:00,https://www.investing.com/strategies/conservative,ejemplo,2025/08/01 0:01,AA01-aaa47,sponsor-01,
sponsorship-48,1,ejemplo,true,2200/12/31 10:00,https://www.investing.com/strategies/conservative,ejemplo,2200/12/30 23:59,AA01-aaa48,sponsor-01,
sponsorship-49,1,ejemplo,true,2200/12/31 10:00,https://www.investing.com/strategies/conservative,ejemplo,2200/12/30 0:00,AA01-aaa49,sponsor-01,
#Fundraiser2
sponsorship-50,1,ejemplo,true,2026/09/01 10:00,https://www.investing.com/strategies/conservative,ejemplo,2025/08/01 0:00,AA01-aaa50,sponsor-02,
sponsorship-51,1,ejemplo,true,2026/09/01 10:00,https://www.investing.com/strategies/conservative,ejemplo,2025/08/01 0:01,AA01-aaa51,sponsor-02,
sponsorship-52,1,ejemplo,false,2200/12/31 10:00,https://www.investing.com/strategies/conservative,ejemplo,2200/12/30 23:59,AA01-aaa52,sponsor-02,
