key,version,description,draft_mode,end_moment,more_info,name,start_moment,ticker,key:fundraiser
strategy-22,1,ejemplo,true,2026/07/01 0:00,http://www.lorem-ipsum.org,ejemplo,2026/07/02 12:00,AA01-aaa22,fundraiser-01
strategy-23,1,ejemplo,true,2026/07/01 0:00,https://www.lorem-ipsum.org,ejemplo,2026/07/02 12:00,AA01-aaa23,fundraiser-01
strategy-24,1,ejemplo,true,2026/07/01 0:00,http://www.lorem-ipsum.org/dolor/sit.html,ejemplo,2026/07/02 12:00,AA01-aaa24,fundraiser-01
strategy-25,1,ejemplo,true,2026/07/01 0:00,http://www.lorem-ipsum.org/dolor/sit.html#dolor,ejemplo,2026/07/02 12:00,AA01-aaa25,fundraiser-01
strategy-26,1,ejemplo,true,2026/07/01 0:00,http://example.org?a=1&b=2,ejemplo,2026/07/02 12:00,AA01-aaa26,fundraiser-01
strategy-27,1,ejemplo,true,2026/07/01 0:00,http://example.org?,ejemplo,2026/07/02 12:00,AA01-aaa27,fundraiser-01
strategy-28,1,ejemplo,true,2026/07/01 0:00,http://example.org?a,ejemplo,2026/07/02 12:00,AA01-aaa28,fundraiser-01
strategy-29,1,ejemplo,true,2026/07/01 0:00,http://example.org?a&b,ejemplo,2026/07/02 12:00,AA01-aaa29,fundraiser-01
strategy-30,1,ejemplo,true,2026/07/01 0:00,http://example.org/,ejemplo,2026/07/02 12:00,AA01-aaa30,fundraiser-01
strategy-31,1,ejemplo,true,2026/07/01 0:00,http://example.org/a,ejemplo,2026/07/02 12:00,AA01-aaa31,fundraiser-01
strategy-32,1,ejemplo,true,2026/07/01 0:00,http://example.org/a/b,ejemplo,2026/07/02 12:00,AA01-aaa32,fundraiser-01
strategy-33,1,ejemplo,true,2026/07/01 0:00,http://example.org/a/b?,ejemplo,2026/07/02 12:00,AA01-aaa33,fundraiser-01
strategy-34,1,ejemplo,true,2026/07/01 0:00,http://example.org/a/b?a&b,ejemplo,2026/07/02 12:00,AA01-aaa34,fundraiser-01
#name
strategy-35,1,ejemplo,true,2026/07/01 10:00,https://www.investing.com/strategies/conservative,"Lorem ipsum dolor sit amet, consectetu",2026/07/02 12:00,AA01-aaa35,fundraiser-01
strategy-36,1,ejemplo,true,2026/07/01 10:00,https://www.investing.com/strategies/conservative,L,2026/07/02 12:00,AA01-aaa36,fundraiser-01
strategy-37,1,ejemplo,true,2026/07/01 10:00,https://www.investing.com/strategies/conservative,Lo,2026/07/02 12:00,AA01-aaa37,fundraiser-01
strategy-38,1,ejemplo,true,2026/07/01 10:00,https://www.investing.com/strategies/conservative,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod t",2026/07/02 12:00,AA01-aaa38,fundraiser-01
strategy-39,1,ejemplo,true,2026/07/01 10:00,https://www.investing.com/strategies/conservative,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod te",2026/07/02 12:00,AA01-aaa39,fundraiser-01
strategy-40,1,ejemplo,true,2026/07/01 10:00,https://www.investing.com/strategies/conservative,โลเร็ม อิปซัม,2026/07/02 12:00,AA01-aaa40,fundraiser-01
strategy-41,1,ejemplo,true,2026/07/01 10:00,https://www.investing.com/strategies/conservative,لوريم إيبسوم,2026/07/02 12:00,AA01-aaa41,fundraiser-01
strategy-42,1,ejemplo,true,2026/07/01 10:00,https://www.investing.com/strategies/conservative,洛伦·伊普森,2026/07/02 12:00,AA01-aaa42,fundraiser-01
strategy-43,1,ejemplo,true,2026/07/01 10:00,https://www.investing.com/strategies/conservative,<marquee>Hacked</marquee>,2026/07/02 12:00,AA01-aaa43,fundraiser-01
strategy-44,1,ejemplo,true,2026/07/01 10:00,https://www.investing.com/strategies/conservative,<script>alert(‘Hacked!’);</script>,2026/07/02 12:00,AA01-aaa44,fundraiser-01
strategy-45,1,ejemplo,true,2026/07/01 10:00,https://www.investing.com/strategies/conservative,' or 'A' = 'A,2026/07/02 12:00,AA01-aaa45,fundraiser-01
#start_moment
strategy-46,1,ejemplo,true,2026/07/01 10:00,https://www.investing.com/strategies/conservative,ejemplo,2025/08/01 0:00,AA01-aaa46,fundraiser-01
strategy-47,1,ejemplo,true,2026/07/01 10:00,https://www.investing.com/strategies/conservative,ejemplo,2025/08/01 0:01,AA01-aaa47,fundraiser-01
strategy-48,1,ejemplo,true,2200/07/01 10:00,https://www.investing.com/strategies/conservative,ejemplo,2200/12/31 23:59,AA01-aaa48,fundraiser-01
strategy-49,1,ejemplo,true,2200/12/31 10:00,https://www.investing.com/strategies/conservative,ejemplo,2200/12/30 0:00,AA01-aaa49,fundraiser-01
