key,version,name,description,cost,kind,key:invention
part-10,1,"โลเร็ม อิปซัม","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",EUR 50.00,CORE,invention-50
part-11,1,"' or 'A' = 'A ","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",EUR 50.00,CORE,invention-50

# description variants

part-12,1,"Lorem ipsum dolor sit amet, consectetu","L",EUR 50.00,CORE,invention-51
part-13,1,"Lorem ipsum dolor sit amet, consectetu","Lo",EUR 50.00,CORE,invention-51
part-14,1,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor",EUR 50.00,CORE,invention-52
part-15,1,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor*",EUR 50.00,CORE,invention-52
part-16,1,"Lorem ipsum dolor sit amet, consectetu","โลเร็ม อิปซัม",EUR 50.00,CORE,invention-53
part-17,1,"Lorem ipsum dolor sit amet, consectetu","لوريم إيبسوم",EUR 50.00,CORE,invention-53
part-18,1,"Lorem ipsum dolor sit amet, consectetu","洛伦·伊普森",EUR 50.00,CORE,invention-54
part-19,1,"Lorem ipsum dolor sit amet, consectetu","<marquee>Hacked</marquee>",EUR 50.00,CORE,invention-54
part-20,1,"Lorem ipsum dolor sit amet, consectetu","<script>alert(‘Hacked!’);</script>",EUR 50.00,CORE,invention-55
part-21,1,"Lorem ipsum dolor sit amet, consectetu","' or 'A' = 'A",EUR 50.00,CORE,invention-55

# cost

part-22,1,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",EUR 0.00,CORE,invention-56
part-23,1,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",EUR 0.01,CORE,invention-56
part-24,1,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",EUR 999999.99,CORE,invention-57
part-25,1,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",EUR 1000000.00,CORE,invention-58
part-26,1,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",EUR 230.00,CORE,invention-49
part-27,1,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",EUR 21.00,CORE,invention-49

# kind

part-28,1,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",EUR 50.00,MANDATORY,invention-59
part-29,1,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",EUR 50.00,OPTIONAL,invention-59
