key,version,title,achievements,effort,kind,key:campaign
milestone-10,1,"โลเร็ม อิปซัม","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",50.00,ENGAGING,campaign-47
milestone-11,1,"SQL Injection Safe","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",50.00,ENGAGING,campaign-47

# description variants
milestone-12,1,"Lorem ipsum dolor sit amet, consectetu","L",50.00,ENGAGING,campaign-47
milestone-13,1,"Lorem ipsum dolor sit amet, consectetu","Lo",50.00,ENGAGING,campaign-47
milestone-14,1,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor",50.00,ENGAGING,campaign-47
milestone-15,1,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor*",50.00,ENGAGING,campaign-47
milestone-16,1,"Lorem ipsum dolor sit amet, consectetu","โลเร็ม อิปซัม",50.00,ENGAGING,campaign-47
milestone-17,1,"Lorem ipsum dolor sit amet, consectetu","لوريم إيبسوم",50.00,ENGAGING,campaign-47
milestone-18,1,"Lorem ipsum dolor sit amet, consectetu","洛伦·伊普เซ",50.00,ENGAGING,campaign-47
milestone-19,1,"Lorem ipsum dolor sit amet, consectetu","Hacked",50.00,ENGAGING,campaign-47
milestone-20,1,"Lorem ipsum dolor sit amet, consectetu","Alert Hacked",50.00,ENGAGING,campaign-47
milestone-21,1,"Lorem ipsum dolor sit amet, consectetu","SQL Injection Safe",50.00,ENGAGING,campaign-47

# cost
milestone-22,1,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",0.00,ENGAGING,campaign-47
milestone-23,1,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",0.01,ENGAGING,campaign-47
milestone-24,1,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",100.00,ENGAGING,campaign-01
milestone-25,1,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",100.00,ENGAGING,campaign-01

# kind
milestone-26,1,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",50.00,TEASER,campaign-47
milestone-27,1,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",50.00,CONVERSION,campaign-47

# campaign
milestone-28,1,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",50.00,ENGAGING,campaign-02
